Feature,OR,lower_ci,upper_ci,sd_logOR,sex,continent,n,CI95
Global,0.1006,0.0973,0.104,0.0136,Both,All,63592,[0.0973 - 0.104]
Wellbeing,0.1178,0.1131,0.1227,0.0166,Both,All,63592,[0.1131 - 0.1227]
Rights & choices,0.118,0.1141,0.122,0.0135,Both,All,63592,[0.1141 - 0.122]
Social life,0.1265,0.122,0.1312,0.0148,Both,All,63592,[0.122 - 0.1312]
Institutional,0.4537,0.4428,0.4649,0.0099,Both,All,63592,[0.4428 - 0.4649]
Rights & choices,0.1207,0.1155,0.1262,0.0181,Female,All,35453,[0.1155 - 0.1262]
Wellbeing,0.1396,0.1311,0.1485,0.0254,Female,All,35453,[0.1311 - 0.1485]
Global,0.1408,0.1353,0.1464,0.016,Female,All,35453,[0.1353 - 0.1464]
Social life,0.2074,0.1989,0.2163,0.017,Female,All,35453,[0.1989 - 0.2163]
Institutional,0.4605,0.448,0.4734,0.0112,Female,All,35453,[0.448 - 0.4734]
Wellbeing,0.104,0.0976,0.1109,0.0259,Male,All,28139,[0.0976 - 0.1109]
Rights & choices,0.1273,0.1215,0.1333,0.0188,Male,All,28139,[0.1215 - 0.1333]
Global,0.1361,0.13,0.1425,0.0187,Male,All,28139,[0.13 - 0.1425]
Social life,0.2378,0.2298,0.2461,0.0139,Male,All,28139,[0.2298 - 0.2461]
Institutional,0.4508,0.4333,0.4691,0.0161,Male,All,28139,[0.4333 - 0.4691]
