Feature,OR,lower_ci,upper_ci,sd_logOR,sex,continent,n,CI95
Wellbeing,0.0002,0.0002,0.0002,0.0497,Both,L. America,45557,[0.0002 - 0.0002]
Rights & choices,0.0012,0.0011,0.0013,0.0318,Both,L. America,45557,[0.0011 - 0.0013]
Global,0.0141,0.0132,0.0152,0.0289,Both,L. America,45557,[0.0132 - 0.0152]
Social life,0.148,0.1389,0.1576,0.0256,Both,L. America,45557,[0.1389 - 0.1576]
Institutional,0.5794,0.5591,0.6005,0.0145,Both,L. America,45557,[0.5591 - 0.6005]
Wellbeing,0.0013,0.0011,0.0015,0.0714,Female,L. America,25644,[0.0011 - 0.0015]
Rights & choices,0.0033,0.0029,0.0036,0.0436,Female,L. America,25644,[0.0029 - 0.0036]
Global,0.0489,0.0451,0.053,0.0329,Female,L. America,25644,[0.0451 - 0.053]
Social life,0.2151,0.2046,0.2262,0.0203,Female,L. America,25644,[0.2046 - 0.2262]
Institutional,0.7563,0.7166,0.7982,0.0219,Female,L. America,25644,[0.7166 - 0.7982]
Wellbeing,0,0,0,0.066,Male,L. America,19913,[0.0 - 0.0]
Rights & choices,0.0006,0.0005,0.0006,0.0434,Male,L. America,19913,[0.0005 - 0.0006]
Global,0.0125,0.0114,0.0137,0.0372,Male,L. America,19913,[0.0114 - 0.0137]
Social life,0.2099,0.1988,0.2216,0.0221,Male,L. America,19913,[0.1988 - 0.2216]
Institutional,0.4109,0.3826,0.4413,0.0291,Male,L. America,19913,[0.3826 - 0.4413]
