Feature,OR,lower_ci,upper_ci,sd_logOR,sex,continent,n,CI95
Global,0.2312,0.2115,0.2528,0.0362,Both,Europe,18077,[0.2115 - 0.2528]
Social life,0.2559,0.2366,0.2768,0.0319,Both,Europe,18077,[0.2366 - 0.2768]
Wellbeing,0.5359,0.513,0.5599,0.0178,Both,Europe,18077,[0.513 - 0.5599]
Rights & choices,0.7284,0.6893,0.7697,0.0224,Both,Europe,18077,[0.6893 - 0.7697]
Institutional,0.8035,0.771,0.8374,0.0168,Both,Europe,18077,[0.771 - 0.8374]
Global,0.2243,0.1983,0.2536,0.05,Female,Europe,9809,[0.1983 - 0.2536]
Social life,0.3814,0.3463,0.42,0.0392,Female,Europe,9809,[0.3463 - 0.42]
Wellbeing,0.5873,0.5554,0.6209,0.0226,Female,Europe,9809,[0.5554 - 0.6209]
Rights & choices,0.6213,0.5674,0.6804,0.0369,Female,Europe,9809,[0.5674 - 0.6804]
Institutional,0.6722,0.6397,0.7064,0.0202,Female,Europe,9809,[0.6397 - 0.7064]
Global,0.3709,0.3297,0.4172,0.0478,Male,Europe,8226,[0.3297 - 0.4172]
Social life,0.4532,0.4151,0.4948,0.0357,Male,Europe,8226,[0.4151 - 0.4948]
Wellbeing,0.4808,0.4457,0.5186,0.0308,Male,Europe,8226,[0.4457 - 0.5186]
Rights & choices,0.8966,0.8141,0.9873,0.0392,Male,Europe,8226,[0.8141 - 0.9873]
Institutional,0.9998,0.9413,1.0619,0.0245,Male,Europe,8226,[0.9413 - 1.0619]
