Feature,OR,lower_ci,upper_ci,sd_logOR,sex,continent,n,CI95
Wellbeing,0.0002,0.0002,0.0002,0.053,Both,MHI,39463,[0.0002 - 0.0002]
Rights & choices,0.0004,0.0004,0.0005,0.0336,Both,MHI,39463,[0.0004 - 0.0005]
Global,0.0012,0.0011,0.0013,0.0372,Both,MHI,39463,[0.0011 - 0.0013]
Social life,0.0022,0.002,0.0024,0.0358,Both,MHI,39463,[0.002 - 0.0024]
Institutional,0.2461,0.2352,0.2575,0.0184,Both,MHI,39463,[0.2352 - 0.2575]
Wellbeing,0.0012,0.0011,0.0014,0.0458,Female,MHI,22326,[0.0011 - 0.0014]
Rights & choices,0.0015,0.0014,0.0017,0.0384,Female,MHI,22326,[0.0014 - 0.0017]
Global,0.0072,0.0067,0.0077,0.0287,Female,MHI,22326,[0.0067 - 0.0077]
Social life,0.0133,0.0122,0.0145,0.0345,Female,MHI,22326,[0.0122 - 0.0145]
Institutional,0.3853,0.3687,0.4026,0.0179,Female,MHI,22326,[0.3687 - 0.4026]
Wellbeing,0,0,0,0.0956,Male,MHI,17137,[0.0 - 0.0]
Rights & choices,0.0002,0.0001,0.0002,0.0548,Male,MHI,17137,[0.0001 - 0.0002]
Global,0.0008,0.0007,0.0009,0.0562,Male,MHI,17137,[0.0007 - 0.0009]
Social life,0.0053,0.0048,0.0059,0.0437,Male,MHI,17137,[0.0048 - 0.0059]
Institutional,0.1468,0.1376,0.1567,0.0265,Male,MHI,17137,[0.1376 - 0.1567]
