Feature,OR,lower_ci,upper_ci,sd_logOR,sex,continent,n,CI95
Wellbeing,0.001,0.0002,0.0054,0.6818,Both,MLI,6098,[0.0002 - 0.0054]
Global,0.018,0.0131,0.0248,0.1297,Both,MLI,6098,[0.0131 - 0.0248]
Rights & choices,0.1063,0.0887,0.1274,0.0737,Both,MLI,6098,[0.0887 - 0.1274]
Institutional,0.3006,0.2528,0.3573,0.0703,Both,MLI,6098,[0.2528 - 0.3573]
Social life,0.4311,0.3209,0.5793,0.1201,Both,MLI,6098,[0.3209 - 0.5793]
Wellbeing,0,0,0,0.7906,Female,MLI,3318,[0.0 - 0.0]
Global,0.0084,0.0061,0.0116,0.1299,Female,MLI,3318,[0.0061 - 0.0116]
Rights & choices,0.0417,0.0333,0.0522,0.0916,Female,MLI,3318,[0.0333 - 0.0522]
Institutional,0.144,0.1165,0.1779,0.086,Female,MLI,3318,[0.1165 - 0.1779]
Social life,0.5513,0.4536,0.6701,0.0793,Female,MLI,3318,[0.4536 - 0.6701]
Global,0.1399,0.0905,0.2162,0.177,Male,MLI,2776,[0.0905 - 0.2162]
Rights & choices,0.3383,0.2504,0.4572,0.1224,Male,MLI,2776,[0.2504 - 0.4572]
Wellbeing,0.4288,0.03,6.1286,1.0812,Male,MLI,2776,[0.03 - 6.1286]
Social life,0.4732,0.3725,0.6011,0.0972,Male,MLI,2776,[0.3725 - 0.6011]
Institutional,0.6836,0.5148,0.9077,0.1153,Male,MLI,2776,[0.5148 - 0.9077]
