Feature,OR,lower_ci,upper_ci,sd_logOR,sex,continent,n,CI95
Institutional,0.0501,0.0446,0.0562,0.0468,Both,W. Europe,7424,[0.0446 - 0.0562]
Social life,0.1207,0.1096,0.133,0.0393,Both,W. Europe,7424,[0.1096 - 0.133]
Global,0.2071,0.1905,0.2252,0.034,Both,W. Europe,7424,[0.1905 - 0.2252]
Rights & choices,0.5395,0.5048,0.5767,0.0271,Both,W. Europe,7424,[0.5048 - 0.5767]
Wellbeing,0.6232,0.5989,0.6485,0.0162,Both,W. Europe,7424,[0.5989 - 0.6485]
Institutional,0.0283,0.0216,0.0372,0.1103,Female,W. Europe,3955,[0.0216 - 0.0372]
Social life,0.1535,0.1347,0.175,0.0533,Female,W. Europe,3955,[0.1347 - 0.175]
Global,0.192,0.1659,0.2222,0.0594,Female,W. Europe,3955,[0.1659 - 0.2222]
Rights & choices,0.4246,0.383,0.4706,0.0418,Female,W. Europe,3955,[0.383 - 0.4706]
Wellbeing,0.673,0.6225,0.7276,0.0317,Female,W. Europe,3955,[0.6225 - 0.7276]
Institutional,0.0969,0.0812,0.1156,0.0717,Male,W. Europe,3247,[0.0812 - 0.1156]
Global,0.3187,0.2728,0.3724,0.0633,Male,W. Europe,3247,[0.2728 - 0.3724]
Social life,0.3209,0.273,0.3774,0.0658,Male,W. Europe,3247,[0.273 - 0.3774]
Wellbeing,0.5719,0.5373,0.6087,0.0254,Male,W. Europe,3247,[0.5373 - 0.6087]
Rights & choices,0.7875,0.6921,0.896,0.0525,Male,W. Europe,3247,[0.6921 - 0.896]
