Feature,OR,lower_ci,upper_ci,sd_logOR,sex,continent,n,CI95
Global,0.1006,0.0973,0.104,0.0136,Both,All,63592,[0.0973 - 0.104]
Wellbeing,0.1178,0.1131,0.1227,0.0166,Both,All,63592,[0.1131 - 0.1227]
Rights & choices,0.118,0.1141,0.122,0.0135,Both,All,63592,[0.1141 - 0.122]
Social life,0.1265,0.122,0.1312,0.0148,Both,All,63592,[0.122 - 0.1312]
Institutional,0.4537,0.4428,0.4649,0.0099,Both,All,63592,[0.4428 - 0.4649]
Wellbeing,0.0002,0.0002,0.0002,0.0497,Both,L. America,45557,[0.0002 - 0.0002]
Rights & choices,0.0012,0.0011,0.0013,0.0318,Both,L. America,45557,[0.0011 - 0.0013]
Global,0.0141,0.0132,0.0152,0.0289,Both,L. America,45557,[0.0132 - 0.0152]
Social life,0.148,0.1389,0.1576,0.0256,Both,L. America,45557,[0.1389 - 0.1576]
Institutional,0.5794,0.5591,0.6005,0.0145,Both,L. America,45557,[0.5591 - 0.6005]
Global,0.2312,0.2115,0.2528,0.0362,Both,Europe,18077,[0.2115 - 0.2528]
Social life,0.2559,0.2366,0.2768,0.0319,Both,Europe,18077,[0.2366 - 0.2768]
Wellbeing,0.5359,0.513,0.5599,0.0178,Both,Europe,18077,[0.513 - 0.5599]
Rights & choices,0.7284,0.6893,0.7697,0.0224,Both,Europe,18077,[0.6893 - 0.7697]
Institutional,0.8035,0.771,0.8374,0.0168,Both,Europe,18077,[0.771 - 0.8374]
Institutional,0.0501,0.0446,0.0562,0.0468,Both,W. Europe,7424,[0.0446 - 0.0562]
Social life,0.1207,0.1096,0.133,0.0393,Both,W. Europe,7424,[0.1096 - 0.133]
Global,0.2071,0.1905,0.2252,0.034,Both,W. Europe,7424,[0.1905 - 0.2252]
Rights & choices,0.5395,0.5048,0.5767,0.0271,Both,W. Europe,7424,[0.5048 - 0.5767]
Wellbeing,0.6232,0.5989,0.6485,0.0162,Both,W. Europe,7424,[0.5989 - 0.6485]
Social life,0.1136,0.0974,0.1325,0.0624,Both,E. Europe,10653,[0.0974 - 0.1325]
Global,0.1261,0.1,0.159,0.0943,Both,E. Europe,10653,[0.1 - 0.159]
Wellbeing,0.2946,0.2629,0.3301,0.0463,Both,E. Europe,10653,[0.2629 - 0.3301]
Rights & choices,0.9556,0.8441,1.0819,0.0505,Both,E. Europe,10653,[0.8441 - 1.0819]
Institutional,1.0511,0.9963,1.109,0.0218,Both,E. Europe,10653,[0.9963 - 1.109]
Wellbeing,0.0002,0.0002,0.0002,0.053,Both,LAC UMI-HI,39463,[0.0002 - 0.0002]
Rights & choices,0.0004,0.0004,0.0005,0.0336,Both,LAC UMI-HI,39463,[0.0004 - 0.0005]
Global,0.0012,0.0011,0.0013,0.0372,Both,LAC UMI-HI,39463,[0.0011 - 0.0013]
Social life,0.0022,0.002,0.0024,0.0358,Both,LAC UMI-HI,39463,[0.002 - 0.0024]
Institutional,0.2461,0.2352,0.2575,0.0184,Both,LAC UMI-HI,39463,[0.2352 - 0.2575]
Wellbeing,0.001,0.0002,0.0054,0.6818,Both,LAC LMI,6098,[0.0002 - 0.0054]
Global,0.018,0.0131,0.0248,0.1297,Both,LAC LMI,6098,[0.0131 - 0.0248]
Rights & choices,0.1063,0.0887,0.1274,0.0737,Both,LAC LMI,6098,[0.0887 - 0.1274]
Institutional,0.3006,0.2528,0.3573,0.0703,Both,LAC LMI,6098,[0.2528 - 0.3573]
Social life,0.4311,0.3209,0.5793,0.1201,Both,LAC LMI,6098,[0.3209 - 0.5793]
