Feature,OR,lower_ci,upper_ci,sd_logOR,sex,continent,n,CI95
Wellbeing,0.097,0.0929,0.1013,0.0177,Both,All,55632,[0.0929 - 0.1013]
Global,0.1004,0.0964,0.1045,0.0163,Both,All,55632,[0.0964 - 0.1045]
Rights & choices,0.1404,0.1362,0.1446,0.0121,Both,All,55632,[0.1362 - 0.1446]
Institutional,0.2582,0.2508,0.2658,0.0118,Both,All,55632,[0.2508 - 0.2658]
Social life,0.4008,0.3805,0.422,0.0211,Both,All,55632,[0.3805 - 0.422]
Wellbeing,0.0001,0.0001,0.0002,0.0453,Both,L. America,37722,[0.0001 - 0.0002]
Rights & choices,0.0047,0.0044,0.005,0.0253,Both,L. America,37722,[0.0044 - 0.005]
Global,0.0194,0.0182,0.0206,0.0251,Both,L. America,37722,[0.0182 - 0.0206]
Institutional,0.0834,0.0804,0.0865,0.0149,Both,L. America,37722,[0.0804 - 0.0865]
Social life,3.2009,2.9757,3.4432,0.0297,Both,L. America,37722,[2.9757 - 3.4432]
Global,0.2313,0.2144,0.2496,0.0309,Both,Europe,18077,[0.2144 - 0.2496]
Social life,0.2559,0.2397,0.2731,0.0265,Both,Europe,18077,[0.2397 - 0.2731]
Wellbeing,0.535,0.5078,0.5636,0.0212,Both,Europe,18077,[0.5078 - 0.5636]
Rights & choices,0.7308,0.6891,0.7751,0.0239,Both,Europe,18077,[0.6891 - 0.7751]
Institutional,0.8028,0.7648,0.8427,0.0197,Both,Europe,18077,[0.7648 - 0.8427]
Institutional,0.0497,0.0422,0.0584,0.0659,Both,W. Europe,7424,[0.0422 - 0.0584]
Social life,0.1237,0.1117,0.137,0.0414,Both,W. Europe,7424,[0.1117 - 0.137]
Global,0.2056,0.19,0.2225,0.0321,Both,W. Europe,7424,[0.19 - 0.2225]
Rights & choices,0.5271,0.4952,0.561,0.0254,Both,W. Europe,7424,[0.4952 - 0.561]
Wellbeing,0.6119,0.5821,0.6433,0.0203,Both,W. Europe,7424,[0.5821 - 0.6433]
Social life,0.1147,0.0991,0.1327,0.0593,Both,E. Europe,10653,[0.0991 - 0.1327]
Global,0.1283,0.1102,0.1495,0.0621,Both,E. Europe,10653,[0.1102 - 0.1495]
Wellbeing,0.2922,0.2657,0.3214,0.0386,Both,E. Europe,10653,[0.2657 - 0.3214]
Rights & choices,0.9372,0.8415,1.0437,0.0438,Both,E. Europe,10653,[0.8415 - 1.0437]
Institutional,1.0581,1.0096,1.109,0.0191,Both,E. Europe,10653,[1.0096 - 1.109]
Social life,0,0,0,0.215,Both,LAC UMI-HI,31624,[0.0 - 0.0]
Wellbeing,0.0001,0.0001,0.0002,0.0515,Both,LAC UMI-HI,31624,[0.0001 - 0.0002]
Rights & choices,0.0016,0.0014,0.0017,0.0374,Both,LAC UMI-HI,31624,[0.0014 - 0.0017]
Global,0.0024,0.0022,0.0026,0.0348,Both,LAC UMI-HI,31624,[0.0022 - 0.0026]
Institutional,0.0253,0.0239,0.0266,0.0218,Both,LAC UMI-HI,31624,[0.0239 - 0.0266]
Wellbeing,0.001,0.0002,0.0049,0.6576,Both,LAC LMI,6098,[0.0002 - 0.0049]
Global,0.0184,0.0129,0.0264,0.1453,Both,LAC LMI,6098,[0.0129 - 0.0264]
Rights & choices,0.1076,0.0877,0.1319,0.0829,Both,LAC LMI,6098,[0.0877 - 0.1319]
Institutional,0.3011,0.2518,0.3601,0.0727,Both,LAC LMI,6098,[0.2518 - 0.3601]
Social life,0.4386,0.346,0.556,0.0964,Both,LAC LMI,6098,[0.346 - 0.556]
