Feature,OR,lower_ci,upper_ci,sd_logOR,sex,continent,n,exposome
Global,0.1006,0.0973,0.1040,0.0136,Both,All,63592,global
Wellbeing,0.1178,0.1131,0.1227,0.0166,Both,All,63592,global
Rights & choices,0.1180,0.1141,0.1220,0.0135,Both,All,63592,global
Social life,0.1265,0.1220,0.1312,0.0148,Both,All,63592,global
Institutional,0.4537,0.4428,0.4649,0.0099,Both,All,63592,global
Global,0.0291,0.0282,0.0301,0.0134,Both,All,77745,GINI
Rights & choices,0.1170,0.1127,0.1214,0.0151,Both,All,77745,GINI
Institutional,0.1695,0.1660,0.1731,0.0084,Both,All,77745,GINI
Wellbeing,0.1714,0.1647,0.1784,0.0163,Both,All,77745,GINI
Social life,0.5677,0.5402,0.5965,0.0202,Both,All,77745,GINI
Global,0.0346,0.0323,0.0371,0.0281,Both,All,55799,GII
Rights & choices,0.0599,0.0566,0.0635,0.0233,Both,All,55799,GII
Wellbeing,0.1386,0.1314,0.1462,0.0216,Both,All,55799,GII
Institutional,0.2391,0.2319,0.2464,0.0123,Both,All,55799,GII
Social life,0.9627,0.9051,1.0241,0.0251,Both,All,55799,GII
Global,0.2087,0.1962,0.2219,0.0250,Both,All,55799,Pollution
Wellbeing,0.2142,0.2036,0.2252,0.0204,Both,All,55799,Pollution
Rights & choices,0.2997,0.2883,0.3116,0.0158,Both,All,55799,Pollution
Institutional,0.6992,0.6632,0.7372,0.0215,Both,All,55799,Pollution
Social life,0.8331,0.7925,0.8759,0.0203,Both,All,55799,Pollution
Global,0.1238,0.1167,0.1313,0.0239,Both,All,78580,Representation
Institutional,0.2992,0.2899,0.3087,0.0128,Both,All,78580,Representation
Wellbeing,0.3226,0.3126,0.3330,0.0128,Both,All,78580,Representation
Rights & choices,0.4526,0.4325,0.4736,0.0185,Both,All,78580,Representation
Social life,1.0589,1.0186,1.1007,0.0158,Both,All,78580,Representation
